,actual_x,prediction_x,date,team_x,opponent_x,teamPoints_x,opponentPoints_x,result_x,teamType_x,actual_y,prediction_y,team_y,opponent_y,teamPoints_y,opponentPoints_y,result_y,teamType_y,points_difference_in_predictions
0,69,58,2016-09-02,Gloucester,Leicester,31,38,L,home,69,37,Leicester,Gloucester,38,31,W,away,11
1,36,54,2016-09-02,Newcastle,Sale,19,17,W,home,36,48,Sale,Newcastle,17,19,L,away,-18
4,38,48,2016-09-03,Saracens,Worcester,35,3,W,home,38,48,Worcester,Saracens,3,35,L,away,-10
6,32,42,2016-09-03,Northampton,Bath,14,18,L,home,32,42,Bath,Northampton,18,14,W,away,-10
8,45,25,2016-09-04,Wasps,Exeter,25,20,W,home,45,64,Exeter,Wasps,20,25,L,away,20
12,29,24,2016-09-09,Sale,Harlequins,19,10,W,home,29,48,Harlequins,Sale,10,19,L,away,5
13,46,30,2016-09-09,Worcester,Gloucester,23,23,D,home,46,30,Gloucester,Worcester,23,23,D,away,16
16,63,48,2016-09-10,Bath,Newcastle,58,5,W,home,63,17,Newcastle,Bath,5,58,L,away,15
17,56,34,2016-09-10,Leicester,Wasps,22,34,L,home,56,34,Wasps,Leicester,34,22,W,away,22
19,47,25,2016-09-11,Exeter,Saracens,13,34,L,home,47,25,Saracens,Exeter,34,13,W,away,22
21,39,29,2016-09-16,Sale,Gloucester,13,26,L,home,39,29,Gloucester,Sale,26,13,W,away,10
22,39,32,2016-09-17,Saracens,Northampton,27,12,W,home,39,32,Northampton,Saracens,12,27,L,away,7
26,61,49,2016-09-17,Exeter,Harlequins,36,25,W,home,61,51,Harlequins,Exeter,25,36,L,away,12
27,59,48,2016-09-17,Bath,Worcester,37,22,W,home,59,45,Worcester,Bath,22,37,L,away,11
28,27,45,2016-09-18,Newcastle,Leicester,13,14,L,home,27,45,Leicester,Newcastle,14,13,W,away,-18
30,31,48,2016-09-24,Gloucester,Newcastle,13,18,L,home,31,37,Newcastle,Gloucester,18,13,W,away,-17
31,68,54,2016-09-24,Worcester,Sale,34,34,D,home,68,30,Sale,Worcester,34,34,D,away,14
34,35,42,2016-09-24,Northampton,Wasps,15,20,L,home,35,42,Wasps,Northampton,20,15,W,away,-7
35,27,52,2016-09-24,Harlequins,Saracens,17,10,W,home,27,44,Saracens,Harlequins,10,17,L,away,-25
39,48,36,2016-09-25,Leicester,Bath,34,14,W,home,48,32,Bath,Leicester,14,34,L,away,12
41,39,42,2016-09-30,Northampton,Exeter,20,19,W,home,39,42,Exeter,Northampton,19,20,L,away,-3
44,21,66,2016-10-01,Gloucester,Bath,6,15,L,home,21,66,Bath,Gloucester,15,6,W,away,-45
45,64,44,2016-10-01,Sale,Leicester,34,30,W,home,64,44,Leicester,Sale,30,34,L,away,20
46,20,44,2016-10-02,Worcester,Newcastle,11,9,W,home,20,26,Newcastle,Worcester,9,11,L,away,-24
47,65,25,2016-10-02,Wasps,Harlequins,47,18,W,home,65,25,Harlequins,Wasps,18,47,L,away,40
51,33,44,2016-10-07,Bath,Sale,30,3,W,home,33,44,Sale,Bath,3,30,L,away,-11
54,29,44,2016-10-08,Harlequins,Northampton,20,9,W,home,29,44,Northampton,Harlequins,9,20,L,away,-15
55,47,38,2016-10-08,Leicester,Worcester,34,13,W,home,47,38,Worcester,Leicester,13,34,L,away,9
57,33,26,2016-10-08,Newcastle,Bristol,19,14,W,home,33,66,Bristol,Newcastle,14,19,L,away,7
58,54,68,2016-10-08,Exeter,Gloucester,27,27,D,home,54,49,Gloucester,Exeter,27,27,D,away,-14
61,44,44,2016-10-09,Saracens,Wasps,30,14,W,home,44,44,Wasps,Saracens,14,30,L,away,0
63,43,53,2016-10-28,Northampton,Gloucester,23,20,W,home,43,53,Gloucester,Northampton,20,23,L,away,-10
65,50,44,2016-10-29,Harlequins,Worcester,36,14,W,home,50,44,Worcester,Harlequins,14,36,L,away,6
67,34,44,2016-10-29,Saracens,Leicester,24,10,W,home,34,44,Leicester,Saracens,10,24,L,away,-10
69,23,68,2016-10-30,Exeter,Bath,10,13,L,home,23,49,Bath,Exeter,13,10,W,away,-45
71,37,25,2016-10-30,Wasps,Newcastle,31,6,W,home,37,25,Newcastle,Wasps,6,31,L,away,12
72,44,26,2016-10-30,Bristol,Sale,13,31,L,home,44,44,Sale,Bristol,31,13,W,away,18
74,25,30,2016-11-18,Bath,Bristol,16,9,W,home,25,30,Bristol,Bath,9,16,L,away,-5
78,35,30,2016-11-18,Worcester,Northampton,17,18,L,home,35,30,Northampton,Worcester,18,17,W,away,5
79,51,30,2016-11-18,Newcastle,Exeter,19,32,L,home,51,30,Exeter,Newcastle,32,19,W,away,21
81,54,37,2016-11-19,Gloucester,Wasps,36,18,W,home,54,37,Wasps,Gloucester,18,36,L,away,17
83,31,32,2016-11-20,Leicester,Harlequins,25,6,W,home,31,32,Harlequins,Leicester,6,25,L,away,-1
85,41,33,2016-11-20,Sale,Saracens,13,28,L,home,41,33,Saracens,Sale,28,13,W,away,8
87,38,42,2016-11-25,Northampton,Newcastle,16,22,L,home,38,18,Newcastle,Northampton,22,16,W,away,-4
88,37,30,2016-11-25,Bristol,Leicester,16,21,L,home,37,30,Leicester,Bristol,21,16,W,away,7
90,79,46,2016-11-26,Exeter,Worcester,57,22,W,home,79,46,Worcester,Exeter,22,57,L,away,33
94,44,55,2016-11-27,Saracens,Gloucester,24,20,W,home,44,55,Gloucester,Saracens,20,24,L,away,-11
95,41,30,2016-11-27,Harlequins,Bath,21,20,W,home,41,30,Bath,Harlequins,20,21,L,away,11
97,58,26,2016-11-27,Wasps,Sale,34,24,W,home,58,26,Sale,Wasps,24,34,L,away,32
99,24,29,2016-12-02,Sale,Exeter,3,21,L,home,24,62,Exeter,Sale,21,3,W,away,-5
102,25,42,2016-12-03,Bath,Saracens,14,11,W,home,25,42,Saracens,Bath,11,14,L,away,-17
104,30,42,2016-12-03,Leicester,Northampton,19,11,W,home,30,32,Northampton,Leicester,11,19,L,away,-12
105,44,42,2016-12-03,Gloucester,Bristol,26,18,W,home,44,42,Bristol,Gloucester,18,26,L,away,2
106,38,49,2016-12-04,Worcester,Wasps,12,26,L,home,38,49,Wasps,Worcester,26,12,W,away,-11
109,70,48,2016-12-04,Newcastle,Harlequins,38,32,W,home,70,48,Harlequins,Newcastle,32,38,L,away,22
110,29,42,2016-12-23,Northampton,Sale,24,5,W,home,29,42,Sale,Northampton,5,24,L,away,-13
113,27,85,2016-12-24,Saracens,Newcastle,21,6,W,home,27,37,Newcastle,Saracens,6,21,L,away,-58
114,41,50,2016-12-24,Exeter,Leicester,31,10,W,home,41,50,Leicester,Exeter,10,31,L,away,-9
116,66,42,2016-12-24,Wasps,Bath,40,26,W,home,66,42,Bath,Wasps,26,40,L,away,24
119,48,42,2016-12-26,Bristol,Worcester,28,20,W,home,48,42,Worcester,Bristol,20,28,L,away,6
120,52,78,2016-12-27,Harlequins,Gloucester,28,24,W,home,52,48,Gloucester,Harlequins,24,28,L,away,-26
122,64,48,2016-12-30,Newcastle,Wasps,30,34,L,home,64,48,Wasps,Newcastle,34,30,W,away,16
125,28,42,2016-12-31,Bath,Exeter,11,17,L,home,28,42,Exeter,Bath,17,11,W,away,-14
126,47,48,2017-01-01,Sale,Bristol,23,24,L,home,47,48,Bristol,Sale,24,23,W,away,-1
127,25,37,2017-01-01,Gloucester,Northampton,12,13,L,home,25,37,Northampton,Gloucester,13,12,W,away,-12
130,28,57,2017-01-01,Leicester,Saracens,12,16,L,home,28,57,Saracens,Leicester,16,12,W,away,-29
131,41,45,2017-01-01,Worcester,Harlequins,24,17,W,home,41,45,Harlequins,Worcester,17,24,L,away,-4
135,46,45,2017-01-06,Newcastle,Bath,24,22,W,home,46,45,Bath,Newcastle,22,24,L,away,1
136,26,32,2017-01-07,Saracens,Exeter,13,13,D,home,26,32,Exeter,Saracens,13,13,D,away,-6
137,74,41,2017-01-07,Gloucester,Worcester,55,19,W,home,74,37,Worcester,Gloucester,19,55,L,away,33
139,58,70,2017-01-07,Northampton,Bristol,32,26,W,home,58,70,Bristol,Northampton,26,32,L,away,-12
140,55,44,2017-01-07,Harlequins,Sale,29,26,W,home,55,44,Sale,Harlequins,26,29,L,away,11
144,38,54,2017-01-08,Wasps,Leicester,22,16,W,home,38,57,Leicester,Wasps,16,22,L,away,-16
146,50,34,2017-02-10,Bristol,Harlequins,8,42,L,home,50,34,Harlequins,Bristol,42,8,W,away,16
148,50,72,2017-02-10,Sale,Newcastle,26,24,W,home,50,40,Newcastle,Sale,24,26,L,away,-22
149,62,40,2017-02-10,Bath,Northampton,32,30,W,home,62,40,Northampton,Bath,30,32,L,away,22
152,42,33,2017-02-11,Worcester,Saracens,24,18,W,home,42,30,Saracens,Worcester,18,24,L,away,9
153,43,36,2017-02-11,Leicester,Gloucester,34,9,W,home,43,36,Gloucester,Leicester,9,34,L,away,7
157,70,25,2017-02-12,Exeter,Wasps,35,35,D,home,70,25,Wasps,Exeter,35,35,D,away,45
159,54,34,2017-02-17,Gloucester,Saracens,31,23,W,home,54,37,Saracens,Gloucester,23,31,L,away,20
162,67,33,2017-02-18,Leicester,Bristol,50,17,W,home,67,33,Bristol,Leicester,17,50,L,away,34
164,80,54,2017-02-18,Worcester,Exeter,32,48,L,home,80,30,Exeter,Worcester,48,32,W,away,26
165,34,34,2017-02-18,Bath,Harlequins,22,12,W,home,34,34,Harlequins,Bath,12,22,L,away,0
166,62,24,2017-02-19,Sale,Wasps,34,28,W,home,62,24,Wasps,Sale,28,34,L,away,38
167,77,51,2017-02-19,Newcastle,Northampton,46,31,W,home,77,46,Northampton,Newcastle,31,46,L,away,26
171,45,53,2017-02-24,Harlequins,Leicester,18,27,L,home,45,44,Leicester,Harlequins,27,18,W,away,-8
172,38,56,2017-02-25,Northampton,Worcester,24,14,W,home,38,30,Worcester,Northampton,14,24,L,away,-18
173,50,63,2017-02-25,Exeter,Newcastle,36,14,W,home,50,63,Newcastle,Exeter,14,36,L,away,-13
175,47,37,2017-02-25,Saracens,Sale,29,18,W,home,47,37,Sale,Saracens,18,29,L,away,10
178,57,34,2017-02-26,Wasps,Gloucester,35,22,W,home,57,43,Gloucester,Wasps,22,35,L,away,23
181,23,33,2017-02-26,Bristol,Bath,12,11,W,home,23,33,Bath,Bristol,11,12,L,away,-10
182,49,58,2017-03-03,Leicester,Exeter,15,34,L,home,49,43,Exeter,Leicester,34,15,W,away,-9
185,44,47,2017-03-03,Sale,Northampton,12,32,L,home,44,47,Northampton,Sale,32,12,W,away,-3
188,57,29,2017-03-04,Gloucester,Harlequins,27,30,L,home,57,52,Harlequins,Gloucester,30,27,W,away,28
189,27,43,2017-03-04,Bath,Wasps,3,24,L,home,27,54,Wasps,Bath,24,3,W,away,-16
192,62,29,2017-03-05,Newcastle,Saracens,27,35,L,home,62,29,Saracens,Newcastle,35,27,W,away,33
193,65,18,2017-03-05,Worcester,Bristol,41,24,W,home,65,18,Bristol,Worcester,24,41,L,away,47
195,46,42,2017-03-24,Bristol,Gloucester,14,32,L,home,46,42,Gloucester,Bristol,32,14,W,away,4
196,67,82,2017-03-25,Northampton,Leicester,31,36,L,home,67,37,Leicester,Northampton,36,31,W,away,-15
198,55,49,2017-03-25,Exeter,Sale,30,25,W,home,55,32,Sale,Exeter,25,30,L,away,6
201,70,63,2017-03-25,Harlequins,Newcastle,53,17,W,home,70,36,Newcastle,Harlequins,17,53,L,away,7
204,63,54,2017-03-26,Saracens,Bath,53,10,W,home,63,54,Bath,Saracens,10,53,L,away,9
205,73,53,2017-03-26,Wasps,Worcester,40,33,W,home,73,53,Worcester,Wasps,33,40,L,away,20
206,30,48,2017-04-07,Newcastle,Gloucester,16,14,W,home,30,48,Gloucester,Newcastle,14,16,L,away,-18
207,62,48,2017-04-07,Sale,Worcester,36,26,W,home,62,48,Worcester,Sale,26,36,L,away,14
210,59,34,2017-04-08,Saracens,Harlequins,40,19,W,home,59,34,Harlequins,Saracens,19,40,L,away,25
211,72,31,2017-04-08,Exeter,Bristol,38,34,W,home,72,62,Bristol,Exeter,34,38,L,away,41
215,48,48,2017-04-08,Bath,Leicester,27,21,W,home,48,48,Leicester,Bath,21,27,L,away,0
217,62,34,2017-04-09,Wasps,Northampton,32,30,W,home,62,65,Northampton,Wasps,30,32,L,away,28
218,65,48,2017-04-14,Harlequins,Exeter,26,39,L,home,65,34,Exeter,Harlequins,39,26,W,away,17
220,69,25,2017-04-15,Gloucester,Sale,39,30,W,home,69,48,Sale,Gloucester,30,39,L,away,44
221,44,89,2017-04-15,Worcester,Bath,25,19,W,home,44,89,Bath,Worcester,19,25,L,away,-45
225,33,48,2017-04-15,Leicester,Newcastle,30,3,W,home,33,48,Newcastle,Leicester,3,30,L,away,-15
227,57,48,2017-04-16,Bristol,Wasps,21,36,L,home,57,48,Wasps,Bristol,36,21,W,away,9
229,52,45,2017-04-16,Northampton,Saracens,25,27,L,home,52,45,Saracens,Northampton,27,25,W,away,7
231,45,55,2017-04-28,Harlequins,Wasps,32,13,W,home,45,55,Wasps,Harlequins,13,32,L,away,-10
233,30,48,2017-04-28,Newcastle,Worcester,16,14,W,home,30,48,Worcester,Newcastle,14,16,L,away,-18
235,36,28,2017-04-29,Saracens,Bristol,27,9,W,home,36,28,Bristol,Saracens,9,27,L,away,8
236,48,31,2017-04-29,Exeter,Northampton,36,12,W,home,48,31,Northampton,Exeter,12,36,L,away,17
238,59,48,2017-04-29,Leicester,Sale,41,18,W,home,59,48,Sale,Leicester,18,41,L,away,11
241,64,48,2017-04-30,Bath,Gloucester,44,20,W,home,64,48,Gloucester,Bath,20,44,L,away,16
243,51,62,2017-05-06,Worcester,Leicester,23,28,L,home,51,62,Leicester,Worcester,28,23,W,away,-11
244,66,80,2017-05-06,Bristol,Newcastle,27,39,L,home,66,80,Newcastle,Bristol,39,27,W,away,-14
247,51,62,2017-05-06,Sale,Bath,27,24,W,home,51,62,Bath,Sale,24,27,L,away,-11
248,50,50,2017-05-06,Wasps,Saracens,35,15,W,home,50,53,Saracens,Wasps,15,35,L,away,0
251,42,53,2017-05-06,Northampton,Harlequins,22,20,W,home,42,53,Harlequins,Northampton,20,22,L,away,-11
252,54,48,2017-05-06,Gloucester,Exeter,20,34,L,home,54,48,Exeter,Gloucester,34,20,W,away,6
254,41,47,2017-05-20,Wasps,Leicester,21,20,W,home,41,47,Leicester,Wasps,20,21,L,away,-6
257,34,57,2017-05-20,Exeter,Saracens,18,16,W,home,34,57,Saracens,Exeter,16,18,L,away,-23
